id,creature_id,location_id,occurrence_type,confidence
CL01,C01,L01,formation,high
CL02,C01,L04,region,high
CL03,C02,L01,formation,high
CL04,C02,L02,formation,high
CL05,C02,L04,region,high
CL06,C03,L01,formation,high
CL07,C03,L02,formation,high
CL08,C03,L03,formation,high
CL09,C03,L04,region,high
CL10,C04,L01,formation,high
CL11,C04,L02,formation,moderate
CL12,C04,L04,region,high
CL13,C05,L05,ecosystem,high
CL14,C05,L06,region,high
CL15,C05,L07,island,high
CL16,C05,L08,region,high
CL17,C05,L09,region,high
